document	label
쥐가 덫이나 고양이에게 잡히는 꿈	1
쥐가 기둥이나 나무를 타고 오르 내리는 것을 보는 꿈	1
아이들이 쥐를 잡아서 장난치는 것을 보는 꿈	1
흰쥐를 보거나 쥐가 인도하는 대로 따라가는 꿈	1
쥐가 옷을 갉아 못 쓰게 만드는 꿈	1
쥐가 다른 동물들과 함께 노는 것을 보는 꿈	1
쥐가 눈을 반짝반짝 빛내면서 노려 보거나 다가오는 꿈	1
쥐가 떼지어 몰려 들어 집 안에 들끓는 꿈	0
쥐가 울부짖거나 눈물을 흘리는 꿈	0
잡았던 쥐를 놓치는 꿈	0
쥐가 새끼를 낳거나 여러 마리의 새끼가 모여 있는 것을 보는 꿈	0
쥐가 춤추는 것을 보고 즐거워하는 꿈	0
쥐들이 서로 싸우면서 소란스럽게 울어대는 꿈	0
쥐가 뱀에게 잡아 먹히거나 뱀의 굴로 들어 가는 꿈	0
피를 흘리며 죽은 쥐를 보는 꿈	0
쥐가 덫에 갇혀서 발버둥치는 것을 보는 꿈	0
장사하는 업소에 쥐가 들끓는 꿈	0
소가 말을 하거나 배설하는 꿈	1
자신이 소를 죽이니 쇠뿔에서 붉은 피가 흘러 나오는 꿈	1
털에 윤기가 있는 잘 생긴 소나 점박이소를 보는 꿈	1
소가 집 안으로 들어 오거나 끌어 들이는 꿈	1
소를 죽인 다음 그 고기를 먹는 꿈	1
소를 몰고 큰 길을 오가는 꿈	1
소가 교미하는 것을 보는 꿈	1
소를 타고 신나게 달리거나 투우를 구경하는 꿈	1
자신이 남의 집 소를 훔치는 꿈	1
쫓아 오는 성난 소를 피해 도망다니거나 고삐 풀린 소를 보는 꿈	0
사람이 소에게 받히거나 힘이 다한 소를 보는 꿈	0
목장에 방목하는 소가 여기 저기 흩어져 죽어 있는 모습을 보는 꿈	0
죽은 사람이 나타나 소를 몰고 깊은 산 속으로 들어 가는 꿈	0
자기의 소를 다른 사람이 도둑질해가는 꿈	0
죽은 소를 자신의 손으로 매장하거나 남이 묻는 것을 도와 주는 꿈	0
소가 논밭을 갈거나 수레를 끄는 것을 보는 꿈	0
송아지를 기르거나 소가 자신을 보고 웃는 것을 보는 꿈	0
산소 옆에서 소가 풀을 뜯어서 먹고 있는 꿈	0
소를 품속에 안거나 자신이 소에게 안기는 꿈	0
소가 도살장으로 끌려 가는 것을 보는 꿈	0
소가 사지가 묶여 나무에 매달려 있는 꿈	0
소가 죽어서 땅에 묻거나 불에 태우는 꿈	0
호랑이를 타고 달리거나 힘차게 산을 오르는 꿈	1
호랑이와 성교를 하거나 호랑이가 집으로 들어 오는 꿈	1
호랑이에게 물리거나 호랑이를 때려 잡는 꿈	1
호랑이가 사람이나 짐승을 잡아 먹는 꿈	1
호랑이가 고갯짓으로 오라고 부르는 꿈	1
호랑이가 다쳐서 신음하고 있는 것을 돌보아 주는 꿈	1
호랑이와 싸워서 이기는 꿈	1
호랑이에게 빌거나 절을 하는 꿈	1
흰 호랑이가 집 안으로 들어 오는 꿈	1
쫓아 오던 호랑이가 갑자기 사람으로 변하는 꿈	0
호랑이가 달아 나거나 두 눈에 불을 켜고 노려 보는 꿈	0
호랑이를 큰 구렁이가 칭칭 감고 있는 꿈	0
임신한 암컷 호랑이가 절벽에서 떨어지는 꿈	0
호랑이가 하늘을 쳐다보고 울부짖는 꿈	0
호랑이와 함께 죽은 조상이 보이는 꿈	0
호랑이의 배를 칼로 가르자 피는 나지 않고 뼈만 보이는 꿈	0
큰 호랑이를 보고 무서워 떨거나 숨는 꿈	0
호랑이에게 쫓기거나 상처를 입는 꿈	0
호랑이가 사나운 모습으로 집 안을 침입하는 꿈	0
토끼가 새끼를 낳는 꿈	1
토끼가 실내에 들어와 있는 꿈	1
토끼가 뛰어 다니는 꿈	1
토끼가 실험용 인간으로 비참한 모습을 하고 있는 꿈	1
도망가는 토끼를 돌이나 막대기로 때려 잡는 꿈	1
토끼가 옷자락을 물고 있는 꿈	1
토끼가 갑자기 커지면서 사자로 변하는 꿈	1
여러 마리의 토끼가 잠자는 것을 보는 꿈	1
토끼가 토끼장에서 나오려고 안간 힘을 쓰는 꿈	0
토끼가 다른 동물들과 싸우거나 장난치는 것을 보는 꿈	0
토끼가 다른 동물에게 쫓기는 것을 보는 꿈	0
토끼가 숲속이나 바위 뒤로 숨어 버리는 꿈	0
용이 입을 크게 벌리고 달려 드는 꿈	1
용이 그려진 그림을 보거나 조각·도장 등을 만지는 꿈	1
적룡·흑룡이 서로 뒤엉켜 하늘로 오르는 꿈	1
용이 물 속을 헤엄치는 꿈	1
용이 승천하는 모습을 자신이나 가족 중에서 누군가가 보고 있는 꿈	1
용이 집 안으로 들어 오거나 자신을 향해 날아 오는 꿈	1
용에게 물리거나 용이 하늘을 나는 것을 보는 꿈	1
자신의 몸이 용으로 변하는 꿈	1
갯벌에서 용의 머리를 캐는 꿈	1
용이 우물에 들어 가거나 냇가에 떨어 지는 꿈	0
용이 승천하자 천둥·번개가 치는 꿈	0
용이 다른 짐승으로 변하는 것을 보는 꿈	0
용이 피투성이가 되어 몸부림치는 꿈	0
용이 나무에 걸려 있는 꿈	0
땅에 떨어져 죽은 용을 닭이나 개가 보고 있는 꿈	0
용이 구름밑에 가려 머리만 보이는 꿈	0
용 두 마리가 서로 마주 노려보고 있는 꿈	0
승천하는 용을 칼로 치거나 총으로 쏘는 꿈	0
승천하던 용이 갑자기 머리를 떨구거나 눈물을 흘리는 꿈	0
푸른색 뱀이 즐겁게 놀고 있는 꿈	1
뱀이 발뒤꿈치나 옷자락을 물어 놀라는 꿈	1
뱀이 대문 안으로 들어 오거나 자신을 쫓아 오는 꿈	1
뱀이 여러 마리의 실뱀을 거느리고 기어 다니는 꿈	1
검은색 뱀과 구렁이가 똬리를 튼 채 여기저기 우글거리는 꿈	1
물뱀이 물 속에서 헤엄치는 꿈	1
뱀이 칼을 물고 있거나 칼을 삼키는 꿈	1
뱀을 잡아서 동강이를 내서 먹는 꿈	1
뱀이 지붕 밑으로 들어 가거나 지붕 밑의 뱀을 잡아 내는 꿈	1
구멍속에서 우글거리는 뱀들을 보는 꿈	1
뱀이 나무 위로 기어 오르거나 지붕 위에 걸쳐 있는 꿈	1
검은 구렁이가 집 주위를 기어 다니는 꿈	0
뱀이 혓바닥을 날름거리며 자신의 몸을 감고 있는 꿈	0
큰 구렁이를 죽여서 피가 넘치는 꿈	0
뱀이 집을 나가거나 갑자기 사라지는 꿈	0
뱀을 때려 죽이거나 여러 토막을 내는 꿈	0
교미하는 뱀을 보는 꿈	0
여러개의 머리가 있는 뱀을 보는 꿈	1
뱀이 치마 속으로 들어와 발로 짓밟거나 죽이려 하는 꿈	0
뱀을 난도질했더니 사람으로 변해서 노려 보는 꿈	0
뱀이 나무 위에 숨어 있거나 지나가는 먹이를 노리는 꿈	0
뱀이 산으로 기어 올라가는 꿈	0
뱀에게 물려 죽거나 병드는 꿈	0
뱀이 사람을 따라 가는 것을 보는 꿈	0
말이 대문 안으로 들어 오거나 마당에서 춤을 추는 꿈	1
말을 타고 다니는 꿈	1
말을 타고 쏜살같이 달리는 꿈	1
돌아가신 조상이 말을 집 안으로 끌어 들이는 꿈	1
말 등을 타고 거리를 활보하는 꿈	1
말에게 물리는 꿈	1
말을 목욕시키거나 털을 다듬는 꿈	1
말등에 짐을 싣는 꿈	1
여러 마리의 말이 자신을 에워싸고 있는 꿈	1
말이 새끼를 낳는 꿈	1
백마가 공중으로 날라서 올라가는 꿈	1
여자가 말을 타고 있거나 고삐를 잡고 있는 꿈	1
말을 타고 결혼하는 꿈	1
말 등에 소금을 가득 싣고 가는 꿈	1
쌍두마차가 인파 속을 지나 가는 꿈	1
말이 병들거나 다쳐서 쓰러져 있는 것을 보는 꿈	0
군마가 달리거나 군인이 말을 타고 있는 꿈	0
여러 마리의 말이 모여서 웅성거리는 꿈	0
말이 거실이나 방 안으로 들어 오는 꿈	0
말이 놀라서 날뛰는 꿈	0
말이 도망쳐 달아 나거나 싸움을 하는 꿈	0
마구간을 치우거나 말똥을 버리는 꿈	0
경마를 구경하는 꿈	0
백마를 타는 꿈	0
묶여 있는 말이 울부짖는 꿈	0
말에서 떨어 지거나 말이 쓰러지는 꿈	0
말을 타려고 하는데 안장이 없는 꿈	0
달리던 말이 갑자기 쓰러져 피를 흘리는 꿈	0
말이 수레를 끌고 가다가 진흙이나 물에 빠지는 꿈	0
총에 맞아 죽은 말에서 악취가 나는 꿈	0
말을 탄 군인들이 총칼을 들고 있는 꿈	0
말에 차이는 꿈	0
말의 성기를 보거나 만지는 꿈	0
양떼가 사막을 달리는 꿈	1
양고기 요리를 먹는 꿈	1
양이 새끼를 돌보고 있는 꿈	1
양의 젖을 짜서 마시는 꿈	1
양이 풀밭에서 한가롭게 풀을 뜯어 먹는 꿈	1
양을 죽여서 제삿상에 올리는 꿈	1
양떼를 부리는 목동을 보는 꿈	1
양들이 보리밭에서 보리를 입에 대는 꿈	1
양이 개 짖는 소리에 놀라서 도망가는 꿈	0
양이 비를 맞아 떨고 있는 꿈	1
양이 돼지우리 속으로 들어 가는 꿈	1
양이 마당에 누워 있는 꿈	0
양이 성을 내어 달려 드는 꿈	0
양의 젖을 짜거나 젖을 쓰다듬는 꿈	0
양이 호랑이에게 물려 가는 꿈	0
양이 여우로 변하여 우는 꿈	0
양털 깎는 모습을 보는 꿈	0
양이 태양을 향해 울부짖는 꿈	0
원숭이가 산 속으로 들어 가는 꿈	1
원숭이를 그렸는데 다 그리고 나니 호랑이인 꿈	1
원숭이가 나무 위나 언덕으로 올라 가는 꿈	1
원숭이가 입을 맞추며 안기려고 하는 꿈	1
화려한 옷을 입은 원숭이들을 보는 꿈	1
원숭이가 자신에게 재주를 부리는 꿈	1
원숭이가 사람들 앞에서 재주를 부리는 꿈	1
원숭이의 눈이 반짝반짝 빛나는 꿈	1
원숭이가 물 속의 고기들이 노는 모습을 보며 즐거워하는 꿈	1
원숭이 머리를 잘라서 먹는 꿈	1
원숭이가 너구리와 함께 놀고 있는 꿈	0
원숭이가 달아 나려고 하는 꿈	0
원숭이가 죽어 있는 모습을 여러 사람이 구경하는 꿈	0
원숭이가 높은 곳에서 내려다보고 있는 꿈	0
원숭이끼리 서로 싸우고 있는 꿈	0
원숭이가 화난 표정으로 음식을 외면하는 꿈	0
원숭이가 아이들이 주는 먹이를 받아 먹는 꿈	0
원숭이가 남의 물건을 훔치는 꿈	0
원숭이가 바나나를 까먹고 그 껍질로 미끄럼을 타는 꿈	0
암탉과 수탉이 서로 입을 맞추며 즐거워하는 꿈	1
암탉이 알을 품고 있는 것을 보는 꿈	1
여러 말의 병아리가 막 알에서 나오는 꿈	1
병아리들이 재잘대는 소리가 요란한 꿈	1
닭장에 여러 마리의 암·수닭이 섞여 놀고 있는 꿈	1
닭장에 비둘기가 날아 와서 앉는 꿈	1
닭의 부리를 잘라 버리는 꿈	1
새벽닭이 우는 소리를 듣는 꿈	1
닭과 함께 제비가 보이는 꿈	1
닭이 날개를 치며 깃털을 가다듬는 꿈	1
암탉이 많은 병아리를 거느리고 다니는 꿈	1
닭이 높은 곳에 둥지를 틀고 앉아 있는 꿈	1
닭이 오리나 거위와 싸워서 상대를 죽이는 꿈	1
닭이 다리가 묶여서 꼼짝도 못 하고 있는 꿈	0
뱀이 닭을 칭칭 감고 있는 꿈	0
닭이 자신을 보고 말을 하는 꿈	0
죽은 닭을 한 상자 가득 가져 오는 꿈	0
닭이 천둥·번개소리에 놀라서 날뛰는 꿈	0
암탉인줄 알고 보았더니 꿩인 꿈	0
닭과 지네가 서로 싸울 듯이 마주 보는 꿈	0
수탉이 담장이나 지붕 위에서 우는 꿈	0
수탉 두 마리가 싸우는 꿈	0
수탉이 암탉을 쪼려고 덤벼 드는 꿈	0
닭이 사람의 시체를 파먹고 있는 꿈	0
닭이 강물에 떠 내려 가는 꿈	0
닭이 지붕 위에서 우는 꿈	0
닭고기를 먹는 꿈	0
잃어버렸던 개가 돌아 와서 가족이 기뻐하는 꿈	1
개가 높은 곳에서 뛰어 내리거나 공중을 날아 다니는 꿈	1
개 짖는 소리가 멀리서 요란하게 들리는 꿈	1
개가 물고기를 물고 있는 꿈	1
피투성이가 된 개를 보는 꿈	1
예쁜 강아지를 사오는 꿈	1
자신이 개를 직접 죽이는 꿈	1
개가 사납게 물려고 덤비거나 떼지어 몰려 오는 꿈	0
개가 교미하는 것을 보는 꿈	1
자기 집 개를 쓰다듬거나 안고 있는 꿈	0
개를 뒤쫓아 달려 가는 꿈	0
개를 삶아서 개고기를 먹는 꿈	0
개가 집을 나가 버리는 꿈	0
개를 잃어 버리고 슬퍼하는 꿈	0
개가 등에 올라 타려고 하는 꿈	0
개가 어린아이를 못살게 굴어 울리는 꿈	0
개끼리 서로 싸우는 꿈	0
개가 사람을 보고 심하게 짖어대는 꿈	0
여러 마리의 돼지를 보는 꿈	1
털이 하얀 돼지를 보는 꿈	1
돼지가 새끼를 낳는 꿈	1
돼지를 줄지어 세우고 걸어가는 꿈	1
돼지가 방 안이나 집 안으로 들어 오는 꿈	1
새끼돼지를 품에 끌어 안는 꿈	1
돼지가 똥통에 빠져 허우적거리는 것을 구해 주는 꿈	1
돼지를 붙잡아 매는 꿈	1
돼지가 공중에서 떨어져 자신을 덮치는 꿈	1
돼지머리를 제삿상에 올려 놓는 꿈	1
다른 집의 우리에서 어미와 새끼돼지를 모두 자기 집으로 데려오는 꿈	1
돼지들끼리 서로 싸우거나 자신이 돼지와 같이 생활하는 꿈	1
돼지를 우리에 가두는 꿈	1
돼지를 가득 실은 트럭을 운전하는 꿈	1
돼지를 통째로 삶거나 구워서 칼로 잘라 먹는 꿈	1
돼지가 쫓아오거나 자신을 끌어안는 꿈	1
복스럽게 생긴 새끼돼지를 쓰다듬는 꿈	1
돼지가 사람으로 변하는 꿈	0
새끼돼지 여러 마리를 마당에 풀어 놓는 꿈	0
돼지가 무서워서 달아나는 꿈	0
집 밖으로 돼지가 달아나는 꿈	0
칼로 돼지고기를 썰거나 돼지고기를 먹는 꿈	0
돼지가 병들어 신음하고 있는 꿈	0
자신의 얼굴을 돼지가 발톱으로 할퀴는 꿈	0
돼지를 아무리 쫓아도 자꾸 따라오는 꿈	0
강 한가운데 돼지가 빠져 허우적거리는 꿈	0
돼지를 팔러 가는 꿈	0
돼지의 털을 몽땅 깎아버리는 꿈	0
죽은 돼지를 짊어지고 오거나 보는 꿈	0
돼지가 논이나 밭을 엉망으로 만드는 꿈	0
흰 코끼리를 보는 꿈	1
코끼리를 보는 꿈	1
코끼리 등에 타는 꿈	1
코끼리를 타고 채찍을 내리치는 꿈	1
코끼리에게 짓밟히는 꿈	1
자신이 코끼리로 변하는 꿈	1
집 안으로 코끼리가 들어 오거나, 코끼리를 타고 다니는 꿈	1
상아 종류의 물건을 얻는 꿈	1
당나귀나 노새를 타고 가는 꿈	1
당나귀나 노새를 죽이는 꿈	1
거위나 오리가 집 안으로 들어오거나 함께 노니는 꿈	1
사자가 울부짖거나 갈기를 세우고 달려오는 꿈	1
사자의 등에 올라타고 달리는 꿈	1
큰 집에 사자 등을 타고 들어가는 꿈	1
사자에게 물리는 꿈	1
사자고기를 먹는 꿈	1
사자 울음소리를 듣는 꿈	1
사자를 죽이는 꿈	1
사자와 싸워 이기는 꿈	1
집 안으로 노루나 사슴이 들어오는 꿈	1
사슴을 추격하여 생포하는 꿈	1
사슴이 도망치는 꿈	1
사슴을 죽이는 꿈	1
사슴뿔을 얻는 꿈	1
낙타를 보는 꿈	1
낙타를 끌고 오는 꿈	1
낙타나 표범을 보고 있는 꿈	1
곰을 끌어 안거나 집 안으로 곰이 들어오는 꿈	1
곰에게 습격당하는 꿈	1
나무나 높은 곳으로 곰이 기어오르는 꿈	1
곰을 죽이거나 등에 올라타는 꿈	1
쥐를 고양이가 잡는 꿈	1
여우를 쫓아가서 잡는 꿈	1
여우를 죽이는 꿈	1
기린을 보는 꿈	1
한가롭게 기린이 먹이를 먹는 꿈	1
기린의 목을 잘라 죽이는 꿈	1
너구리를 붙잡는 꿈	1
음침한 곳에서 도마뱀이 우글거리는 꿈	1
커다란 도마뱀을 잡거나 보는 꿈	1
악어떼를 한 마리씩 차례로 죽이는 꿈	1
도롱룡 알을 먹는 꿈	1
여러 가축들이 모여 있는 꿈	1
뿔이 많은 동물을 보는 꿈	1
처마 밑으로 제비가 날아드는 꿈	1
여자의 품으로 제비가 날아드는 꿈	1
제비가 자신의 품안으로 날아드는 꿈	1
떼를 지은 제비가 집 안으로 날아드는 꿈	1
제비가 둥지를 치고 새끼를 기르는 꿈	1
제비가 잠시 머물렀다가 날아가 버리는 꿈	1
봉황을 보고 있는 꿈	1
봉황을 보거나 기르는 꿈	1
한 쌍의 봉황을 얻는 꿈	1
나무에 앵무새가 앉아 지저귀는 꿈	1
비둘기에게 모이를 주는 꿈	1
품안으로 비둘기가 날아드는 꿈	1
비둘기를 보는 꿈	1
비둘기를 붙잡는 꿈	1
카나리아를 보는 꿈	1
원앙새를 보거나 기르는 꿈	1
한 쌍의 원앙새를 보는 꿈	1
집 안으로 참새떼가 날아 드는 꿈	1
지붕 위에서 참새가 지저귀는 꿈	1
참새떼가 모여 있는 꿈	1
참새떼가 떼지어 날아가는 꿈	1
까치와 까마귀가 어울려 있는 꿈	1
시체를 까치와 까마귀가 파먹는 꿈	1
까치떼가 날아가는 꿈	1
나무 위에 까치가 앉아 우는 꿈	1
까마귀를 보는 꿈	1
꾀꼬리 울음소리를 듣는 꿈	1
꾀꼬리가 숲속에서 날아 다니는 꿈	1
포수가 꿩 잡는 것을 보는 꿈	1
꿩알을 줍거나 또는 얻는 꿈	1
두견새나 뻐꾸기를 보는 꿈	1
두견새나 뻐꾸기 알을 얻는 꿈	1
떼를 지어 박쥐가 날아다니는 꿈	1
박쥐에게 물리는 꿈	1
독수리, 매 등 사나운 새를 보는 꿈	1
독수리 따위의 새가 날아와서 몸을 무는 꿈	1
독수리가 자신을 채어 하늘로 날아 오르는 꿈	1
독수리가 하늘 높이 나는 꿈	1
매가 새를 잡아 오는 꿈	1
매가 하늘을 빙빙 돌며 나는 꿈	1
공작새를 보는 꿈	1
자신의 주위나 머리 위를 공작새가 날아 다니는 꿈	1
공작새가 날개를 활짝 펴는 꿈	1
학이 하늘을 날아가는 꿈	1
학을 타고 날아가는 꿈	1
학이 우는 소리를 듣는 꿈	1
옆에 학이 날아와 앉는 꿈	1
품안으로 학이 날아드는 꿈	1
학이 청아한 목소리로 우는 꿈	1
흰 학을 타고 온 노인에게 선물을 받는 꿈	1
학이 공중에서 날고 있는 꿈	1
학을 놓아 보내는 꿈	1
황새가 나무에 앉아 있는 꿈	1
백조를 보는 꿈	1
기러기가 날아 가는 꿈	1
호숫가에 기러기떼가 앉아 있는 꿈	1
기러기가 떼를 지어 하늘을 날아가는 꿈	1
자신을 갈매기떼가 둘러싸는 꿈	1
새가 나는 꿈	1
배 위에 물새가 앉아 있는 꿈	1
자신이 물새로 변하는 꿈	1
새떼가 줄지어 하늘을 나는 꿈	1
발치에 새가 내려앉는 꿈	1
새의 알을 얻는 꿈	1
품안으로 새가 날아드는 꿈	1
나무 위에 새들이 집을 짓는 꿈	1
짐승고기를 새가 먹는 것을 보는 꿈	1
거북이가 한가롭게 노는 것을 보는 꿈	1
거북의 목을 잡고 있는 꿈	1
거북을 때려서 피가 흐르는 꿈	1
거북을 죽이는 꿈	1
거북이 기어가는 꿈	1
집 안으로 거북이 들어오거나 우물 속으로 들어가는 꿈	1
거북이 앞장서서 길을 인도하는 꿈	1
거북을 만지거나 등에 타는 꿈	1
고래의 뱃속으로 들어가는 꿈	1
고래가 날아 다니는 꿈	1
고래 등에 올라타고 달리는 꿈	1
뱃길을 고래가 인도해주는 꿈	1
상어가 다리를 무는 꿈	1
인어를 잡는 꿈	1
물고기가 떼를 지어 헤엄치며 노는 꿈	1
물고기를 잡거나 요리해서 먹는 꿈	1
정월 초에 꾸는 물고기꿈	1
큰 물고기나 잉어를 잡는 꿈	1
물 속에서 헤엄치는 큰 물고기나 잉어를 보는 꿈	1
물고기를 잡았다가 다시 놓아주는 꿈	1
물고기를 선물받는 꿈	1
말린 고기가 다시 살아나서 헤엄치는 꿈	1
자신이 물고기를 잡는 꿈	1
낚시로 물고기를 잡는 꿈	1
낚시에서 월척을 올리는 꿈	1
그물로 많은 고기를 잡는 꿈	1
물고기를 고르는 꿈	1
배 갑판 위로 물고기가 튀어 오르는 꿈	1
시장에서 물고기를 사는 꿈	1
물고기를 놓아주는 꿈	1
물고기가 알을 낳는 꿈	1
집 우물에 큰 물고기가 들어 있는 꿈	1
찬란한 빛이 나는 물고기를 치마로 받는 꿈	1
자신이 물고기로 변하여 바다에서 헤엄치는 꿈	1
물고기를 배설하는 꿈	1
물고기를 토막내어 다른 사람에게 분배해 주는 꿈	1
마른 물고기를 얻어 오는 꿈	1
마른 물고기가 하천으로 떠 내려가는 꿈	1
커다란 잉어가 폭포 위로 뛰어오르는 꿈	1
잉어를 잡아서 집 안에 들이는 꿈	1
잉어를 물이 있는 그릇에 넣는 꿈	1
연못에서 잉어가 뛰는 꿈	1
낙지나 문어 등이 몸을 감는 꿈	1
뱀장어를 보는 꿈	1
장어 등 미끄러운 고기를 잡는 꿈	1
조개를 잡는 꿈	1
조개를 줍는 꿈	1
조개에서 진주가 나오는 꿈	1
조개를 까보는 꿈	1
벌을 보는 꿈	1
